;Line;Location;Type;Date;Due Date;Past Due
17;201;P15;EGV Cylinder;2018-01-31 00:00:00.000;2020-01-21 00:00:00.000;-221 days +00:00:00.000000000
18;201;P16;EGV Cylinder;2020-03-21 00:00:00.000;2022-03-11 00:00:00.000;559 days 00:00:00.000000000
19;201;P17;EGV Cylinder;2018-04-27 00:00:00.000;2020-04-16 00:00:00.000;-135 days +00:00:00.000000000
20;201;C4;EGV Cylinder;2018-04-27 00:00:00.000;2020-04-16 00:00:00.000;-135 days +00:00:00.000000000
21;201;P18;EGV Cylinder;2020-03-21 00:00:00.000;2022-03-11 00:00:00.000;559 days 00:00:00.000000000
22;201;P19;EGV Cylinder;2018-05-20 00:00:00.000;2020-05-09 00:00:00.000;-112 days +00:00:00.000000000
23;201;P20;EGV Cylinder;2018-05-20 00:00:00.000;2020-05-09 00:00:00.000;-112 days +00:00:00.000000000
24;201;P21;EGV Cylinder;2020-03-07 00:00:00.000;2022-02-25 00:00:00.000;545 days 00:00:00.000000000
25;201;P22;EGV Cylinder;2018-05-20 00:00:00.000;2020-05-09 00:00:00.000;-112 days +00:00:00.000000000
26;201;ULC;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
27;201;P0;EGV Cylinder;2018-11-11 00:00:00.000;2020-10-31 00:00:00.000;63 days 00:00:00.000000000
28;201;LC;EGV Cylinder;2019-08-26 00:00:00.000;2021-08-15 00:00:00.000;351 days 00:00:00.000000000
29;202;C1;EGV Cylinder;2019-01-21 00:00:00.000;2021-01-10 00:00:00.000;134 days 00:00:00.000000000
30;202;P1;EGV Cylinder;2020-06-25 00:00:00.000;2022-06-15 00:00:00.000;655 days 00:00:00.000000000
31;202;P2;EGV Cylinder;2018-11-08 00:00:00.000;2020-10-28 00:00:00.000;60 days 00:00:00.000000000
32;202;P3;EGV Cylinder;2019-11-30 00:00:00.000;2021-11-19 00:00:00.000;447 days 00:00:00.000000000
33;202;P4;EGV Cylinder;2018-12-22 00:00:00.000;2020-12-11 00:00:00.000;104 days 00:00:00.000000000
34;202;C2;EGV Cylinder;2019-11-22 00:00:00.000;2021-11-11 00:00:00.000;439 days 00:00:00.000000000
35;202;P5;EGV Cylinder;2018-12-22 00:00:00.000;2020-12-11 00:00:00.000;104 days 00:00:00.000000000
36;202;P6;EGV Cylinder;2018-12-22 00:00:00.000;2020-12-11 00:00:00.000;104 days 00:00:00.000000000
37;202;P7;EGV Cylinder;2020-05-08 00:00:00.000;2022-04-28 00:00:00.000;607 days 00:00:00.000000000
38;202;P8;EGV Cylinder;2020-04-22 00:00:00.000;2022-04-12 00:00:00.000;591 days 00:00:00.000000000
39;202;P9;EGV Cylinder;2020-04-22 00:00:00.000;2022-04-12 00:00:00.000;591 days 00:00:00.000000000
40;202;P10;EGV Cylinder;2020-04-22 00:00:00.000;2022-04-12 00:00:00.000;591 days 00:00:00.000000000
41;202;P11;EGV Cylinder;2020-05-28 00:00:00.000;2022-05-18 00:00:00.000;627 days 00:00:00.000000000
42;202;P12;EGV Cylinder;2020-05-28 00:00:00.000;2022-05-18 00:00:00.000;627 days 00:00:00.000000000
43;202;P13;EGV Cylinder;2020-05-28 00:00:00.000;2022-05-18 00:00:00.000;627 days 00:00:00.000000000
44;202;C3;EGV Cylinder;2020-05-28 00:00:00.000;2022-05-18 00:00:00.000;627 days 00:00:00.000000000
45;202;P14;EGV Cylinder;2020-06-17 00:00:00.000;2022-06-07 00:00:00.000;647 days 00:00:00.000000000
46;202;P15;EGV Cylinder;2020-06-17 00:00:00.000;2022-06-07 00:00:00.000;647 days 00:00:00.000000000
47;202;P16;EGV Cylinder;2020-06-17 00:00:00.000;2022-06-07 00:00:00.000;647 days 00:00:00.000000000
48;202;P17;EGV Cylinder;2020-06-17 00:00:00.000;2022-06-07 00:00:00.000;647 days 00:00:00.000000000
49;202;C4;EGV Cylinder;2020-06-17 00:00:00.000;2022-06-07 00:00:00.000;647 days 00:00:00.000000000
50;202;P18;EGV Cylinder;2020-04-22 00:00:00.000;2022-04-12 00:00:00.000;591 days 00:00:00.000000000
51;202;P19;EGV Cylinder;2020-03-13 00:00:00.000;2022-03-03 00:00:00.000;551 days 00:00:00.000000000
52;202;P20;EGV Cylinder;2020-04-22 00:00:00.000;2022-04-12 00:00:00.000;591 days 00:00:00.000000000
53;202;P21;EGV Cylinder;2020-02-04 00:00:00.000;2022-01-24 00:00:00.000;513 days 00:00:00.000000000
54;202;ULC;EGV Cylinder;2020-02-19 00:00:00.000;2022-02-08 00:00:00.000;528 days 00:00:00.000000000
